ação,empresa,p,data_p,data_dem_financ_,consolidação,rotanc,roinvc,rpl,roa,margem_líquida,margem_bruta,margem_ebit,giro_ativo,alav_financ_,passivo_pl,p_lucro,p_vpa,p_rec_líq_,p_fco,p_fcf,p_ebit,p_ncav,p_ativo_total,p_cap_giro,ev_ebit,ev_ebitda,ev_rec_líq_,ev_fco,ev_fcf,ev_ativo_total,div_yield,volume_financ_(r$),market_cap(r$),#_ações_total,#_ações_ord_,#_ações_pref_
RRRP3,3R PETROLEUM,31.06,23/06/2023,31/03/2023,Consolidado,4.94,3.80,11.95,8.69,23.66,45.02,10.71,0.37,1.86,0.86,13.88,1.47,3.28,46.94,-15.83,30.67,-1.85,0.79,23.19,38.09,15.44,4.08,-19.66,58.30,0.98,0.00,227548280,7451214704,239897447,239897447,0
TTEN3,3TENTOS,12.86,23/06/2023,31/03/2023,Consolidado,0,0,0,0,8.35,15.44,8.11,0,2.24,1.24,10.35,2.23,0.86,9.77,-99.34,10.65,-3.14,1.00,4.21,11.23,10.51,0.91,-104.81,10.31,1.05,0.90,11727540,6408107740,498297647,498297647,0
QVQP3B,524 PARTICIP,0,0,31/03/2023,Individual,-2948.00,-2948.00,-224.07,-224.07,0,0,0,0.00,1.00,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,4234183918,4234183918,0
EALT3,ACO ALTO0,8.22,23/06/2023,31/03/2023,Consolidado,9.84,12.02,18.33,6.93,7.22,21.92,11.20,0.96,2.44,1.44,5.34,0.87,0.39,2.61,7.96,3.45,-0.58,0.36,-18.21,5.48,4.08,0.61,12.65,4.14,0.57,4.18,2328,185077500,22500000,9750000,12750000
EALT4,ACO ALTO0,8.23,23/06/2023,31/03/2023,Consolidado,9.84,12.02,18.33,6.93,7.22,21.92,11.20,0.96,2.44,1.44,5.35,0.87,0.39,2.61,7.97,3.45,-0.58,0.36,-18.23,5.48,4.08,0.61,12.65,4.14,0.57,4.59,125217,185077500,22500000,9750000,12750000
AERI3,AERIS,1.50,23/06/2023,31/03/2023,Consolidado,9.68,9.73,-11.67,-3.74,-4.20,13.11,9.22,0.89,3.81,2.81,-9.89,1.33,0.42,-13.93,-6.93,4.51,-0.81,0.35,1.14,8.38,6.89,0.77,-12.86,-25.87,0.65,0.00,6505861,1149320184,766213456,766213456,0
AESB3,AES BRASIL,12.39,23/06/2023,31/03/2023,Consolidado,5.10,5.38,3.88,1.00,4.28,33.16,25.99,0.23,4.55,3.55,58.93,1.69,2.52,26.29,-2.19,9.71,-0.60,0.37,2.31,25.09,14.85,6.52,-5.65,67.92,0.96,0.87,28344167,7457879383,601927311,601927311,0
AFLT3,AFLUENTE T,9.55,23/06/2023,31/03/2023,Individual,10.44,11.19,15.31,14.00,48.96,59.73,49.97,0.29,1.14,0.14,15.36,2.22,7.52,38.47,44.18,15.05,28.47,1.95,10.35,14.58,14.51,7.28,42.79,37.26,1.89,6.22,3784,602458885,63084700,63084700,0
GRAO3,AGRIBRASIL,0,0,31/03/2023,Consolidado,5.88,8.92,-6.24,-0.79,-0.27,2.12,1.22,2.97,6.57,5.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,88000000,88000000,0
AGXY3,AGROGALAXY,6.19,23/06/2023,31/03/2023,Consolidado,24.59,15.34,12.96,2.02,1.62,13.57,5.16,1.25,7.70,6.70,5.82,0.73,0.09,-3.52,-2.97,1.82,-0.12,0.10,1.21,4.22,3.52,0.22,-6.88,-8.15,0.22,0.64,403719,1057406682,170824989,170824989,0
BRGE3,ALFA CONSORC,9.77,19/06/2023,31/03/2023,Consolidado,1.48,2.89,6.80,2.72,2289.10,-3940.13,1469.66,0.00,2.23,1.23,8.46,0.55,193.68,7.72,0,13.18,-0.72,0.25,1.17,12.94,10.03,190.22,0,7.58,0.24,0.00,503,708884745,73646388,40394932,33251456
BRGE6,ALFA CONSORC,9.45,05/06/2023,31/03/2023,Consolidado,1.48,2.89,6.80,2.72,2289.10,-3940.13,1469.66,0.00,2.23,1.23,8.18,0.53,187.34,7.46,0,12.75,-0.70,0.24,1.13,12.94,10.03,190.22,0,7.58,0.24,23.63,1170,708884745,73646388,40394932,33251456
RPAD3,ALFA HOLDING,7.45,09/06/2023,31/03/2023,Individual,3.72,3.72,6.30,6.28,0,0,0,0.00,1.00,0.00,9.63,0.58,0,391.85,0,10.77,11.49,0.58,10.86,10.31,10.31,0,0,375.19,0.56,0.01,346,604586871,84682269,46011632,38670637
RPAD6,ALFA HOLDING,6.77,14/06/2023,31/03/2023,Individual,3.72,3.72,6.30,6.28,0,0,0,0.00,1.00,0.00,8.75,0.53,0,356.09,0,9.78,10.44,0.53,9.87,10.31,10.31,0,0,375.19,0.56,8.49,9984,604586871,84682269,46011632,38670637
ALSO3,ALIANSCSO0E,25.24,23/06/2023,31/03/2023,Consolidado,31.14,48.80,45.04,26.34,209.84,69.43,342.49,0.13,1.94,0.94,4.71,0.98,9.89,16.40,16.53,2.89,-1.17,0.50,9.47,2.88,2.70,9.85,16.47,16.33,0.50,2.06,101038224,14486167583,573936909,573936909,0
APTI3,ALIPERTI,0,0,31/03/2023,Consolidado,-6.01,-10.07,-11.21,-5.06,-57.25,94.24,-93.35,0.09,2.38,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.77,-2.92,2.59,-26.34,-33.37,0.24,0,0,65082500,18595,6250,12345
APTI4,ALIPERTI,3500.00,01/08/2018,31/03/2023,Consolidado,-6.01,-10.07,-11.21,-5.06,-57.25,94.24,-93.35,0.09,2.38,1.38,-2.49,0.31,1.43,-18.38,-14.51,-1.53,-0.47,0.13,0.44,-2.77,-2.92,2.59,-26.34,-33.37,0.24,0.00,0,65082500,18595,6250,12345
