ticker,preco,dy,p_l,p_vp,p_ativos,margem_bruta,margem_ebit,marg_liquida,p_ebit,ev_ebit,divida_liquida___ebit,div_liq___patri,psr,p_cap_giro,p_at_cir_liq,liq_corrente,roe,roa,roic,patrimonio___ativos,passivos___ativos,giro_ativos,cagr_receitas_5_anos,cagr_lucros_5_anos,liquidez_media_diaria,vpa,lpa,peg_ratio,valor_de_mercado
AALR3,24.11,0,-11.55,3.15,1.11,30.83,-1.55,-22.50,-168.01,-218.55,-50.55,0.95,2.60,-11.44,-1.34,0.63,-27.28,-9.62,-1.08,0.35,0.63,0.43,0.13,0,9774655.00,7.67,-2.09,-0.02,2859137362.72
ABCB4,19.31,8.07,5.66,0.83,0.08,30.57,22.37,17.25,4.37,4.37,0,0,0.98,-1.95,-0.08,0.13,14.65,1.45,0,0.10,0.91,0.08,18.70,12.65,15064112.56,23.40,3.43,0.23,4390670091.56
ABEV3,14.50,5.25,16.01,2.69,1.71,49.71,22.46,18.03,12.85,12.36,-0.48,-0.10,2.76,1129.76,-2.31,0.99,17.35,10.88,19.66,0.63,0.36,0.60,10.72,15.19,368187329.52,5.40,0.91,2.95,228588120950.84
ADHM3,1.56,0,-4.09,-1.29,105.12,100.00,-13548.48,-18860.61,-5.69,-5.69,0.00,0,770.90,-1.43,-116.16,0.00,-31.47,-2571.90,22.61,-81.72,82.72,0.14,0,0,0,-1.21,-0.38,-0.58,25439770.20
AERI3,1.20,0,-7.98,1.07,0.28,13.11,9.22,-4.20,3.64,7.51,3.87,1.14,0.34,0.92,-0.77,1.93,-13.47,-3.53,8.73,0.26,0.74,0.84,0,0,6001975.74,1.13,-0.15,0.02,927118281.76
AESB3,11.19,0.95,46.79,1.54,0.34,33.16,25.99,4.28,7.99,17.30,10.29,1.79,2.19,4.03,-0.43,2.80,2.88,0.63,3.84,0.22,0.72,0.15,0,0,18737229.19,7.32,0.24,-0.68,6783720794.97
AFLT3,10.50,2.50,16.89,2.44,2.15,59.73,49.97,48.96,16.55,16.07,-0.47,-0.07,8.27,11.38,-2.85,4.34,14.46,12.72,13.28,0.88,0.12,0.26,24.96,25.66,7942.05,4.30,0.62,-0.27,662389350.00
AGRO3,25.81,12.49,46.62,1.30,0.80,14.46,5.37,4.93,42.73,53.33,10.60,0.32,2.30,3.51,-1.35,2.25,2.79,1.71,1.65,0.61,0.39,0.35,59.78,15.83,12260178.81,19.91,0.56,-0.50,2654635817.44
AGXY3,4.87,0.81,18.87,0.58,0.07,13.59,5.16,0.39,1.43,3.53,2.09,0.84,0.07,0.95,-0.48,1.10,3.06,0.40,15.79,0.13,0.87,1.01,0,0,522008.89,8.45,0.26,-0.38,831917696.43
AHEB3,22.09,0,2.87,26.05,0.52,40.25,24.45,15.94,1.87,1.46,-0.40,-5.56,0.46,5.06,-0.88,1.34,908.67,18.19,692.14,0.02,0.98,1.14,20.77,0,2209.00,0.85,7.70,-0.01,187972923.26
AHEB5,16.49,0,2.14,19.45,0.39,40.25,24.45,15.94,1.40,1.46,-0.40,-5.56,0.34,3.78,-0.66,1.34,908.67,18.19,692.14,0.02,0.98,1.14,20.77,0,2476.00,0.85,7.70,-0.01,187972923.26
AHEB6,18.50,0,2.40,21.82,0.44,40.25,24.45,15.94,1.57,1.46,-0.40,-5.56,0.38,4.24,-0.74,1.34,908.67,18.19,692.14,0.02,0.98,1.14,20.77,0,1850.00,0.85,7.70,-0.01,187972923.26
ALLD3,6.74,5.25,8.98,0.41,0.17,14.74,3.78,1.37,3.24,4.96,1.72,0.22,0.12,0.59,-0.57,1.70,4.62,1.90,7.70,0.41,0.59,1.39,14.71,29.93,288101.93,16.26,0.75,-0.12,628306722.68
ALPA3,10.29,0,-30.81,1.32,0.91,45.10,-3.22,-2.67,-24.57,-26.70,-6.73,0.16,1.75,4.01,-1.45,2.50,-2.01,-1.37,-2.56,0.68,0.32,0.51,2.36,0,42203.78,7.77,-0.33,0.22,6736691461.33
ALPA4,9.45,0,-28.27,1.21,0.83,45.10,-3.22,-2.67,-22.54,-26.70,-6.73,0.16,1.60,3.67,-1.33,2.50,-2.01,-1.37,-2.56,0.68,0.32,0.51,2.36,0,57524496.44,7.77,-0.33,0.20,6736691461.33
ALPK3,4.91,0,-7.08,2.75,0.39,29.35,8.26,-12.67,10.85,23.34,12.49,3.17,0.90,-4.11,-0.46,0.63,-38.84,-5.49,4.79,0.14,0.86,0.43,3.17,0,2542573.33,1.79,-0.69,0.26,1052834227.93
ALSC3,27.75,0,38.57,2.20,1.20,75.71,65.32,27.78,16.41,14.85,-1.56,-0.21,10.72,9.41,-1.43,5.39,5.69,3.12,11.21,0.55,0.44,0.11,2.54,19.34,0,12.64,0.72,0.58,5694242307.75
ALSO3,24.25,2.13,4.54,0.95,0.49,111.74,384.80,209.84,2.48,2.10,-0.38,-0.14,9.53,9.13,-0.55,1.93,20.82,10.71,25.62,0.51,0.45,0.05,25.65,85.92,113870368.04,25.74,5.36,0.00,13958145626.88
ALUP11,28.51,5.44,12.18,1.22,0.31,79.84,71.68,20.19,3.43,6.93,3.50,1.24,2.46,2.93,-0.38,2.15,10.00,2.51,10.38,0.25,0.62,0.12,20.04,16.77,20119599.81,23.57,2.36,-0.30,8746570901.60
ALUP3,9.65,5.46,12.12,1.21,0.30,79.84,71.68,20.19,3.41,6.93,3.50,1.24,2.45,2.91,-0.38,2.15,10.00,2.51,10.38,0.25,0.62,0.12,20.04,16.77,204783.30,7.86,0.79,-0.29,8746570901.60
ALUP4,9.63,5.44,12.17,1.22,0.31,79.84,71.68,20.19,3.43,6.93,3.50,1.24,2.46,2.92,-0.38,2.15,10.00,2.51,10.38,0.25,0.62,0.12,20.04,16.77,299802.93,7.86,0.79,-0.29,8746570901.60
AMAR3,0.86,0,-0.64,0.80,0.10,38.66,-8.56,-16.96,-1.26,-6.47,-5.21,3.30,0.11,-21.44,-0.20,0.99,-125.64,-15.90,-16.04,0.13,0.87,0.94,-0.89,0,4890187.22,1.07,-1.35,0.00,294844904.32
